custom-id-1,expected-gfa
28380,948.16
22242,2001.28
22368,4399.28
22369,1937.3
26664,1137.2
22083,8715.78
22067,8382
77658,1458.45
61580,1570.06
44879,5404.86
91835,3347.6
44410,936.96
46976,3750.51
111137,18381.24
115806,8322.25
88506,6028.68
44674,932.83
43856,4486.88
61085,17387.3
44573,1342.94
98094,5727.04
44154,3343.12
94087,4538.6
31986,4568.01
33848,3377.4
110638,1082.38
33798,1273.42
100589,964.08
99122,7872.76
129339,1798.48
43859,2915.37
44129,1181.04
44292,1245.45
44569,4449.3
115979,4394.44
74923,4388.08
91304,5109.2
63282,1028.52
43736,2728.28
44130,1936.47
44158,1429.74
44669,6056.38
44665,1603.68
113369,1666.77
129094,9170.44
43881,4200.24
68991,2209.78
44673,3704.64
63406,2013.24
43771,1164.72
43861,2844.56
43850,1788.12
43791,2311.98
104941,3937.68
39235,933.46
43860,1622.79
44666,1305.72
43735,3257.32
20355,1128.42
50803,3064.56
50819,2412.66
50824,1551.54
43986,3409.32
34391,1164.28
44680,3084.96
82531,1591.4
44131,2782.2
43965,2284
44572,1571.76
44672,3314.13
44741,2865.36
43953,1040.64
43989,3678.06
44501,4094.32
44554,1987.53
43769,1515.36
43763,4167
96445,4473.35
22239,11539.5
43991,1747.83
44690,23113.36
43966,1776.52
128464,3691.96
43908,7716.12
71795,47390.84
43768,1966.76
43958,1299.09
44435,2391.54
96009,10613.54
43803,2257.8
63058,2390.55
110590,5066.36
43992,2514.64
63898,4665.72
43767,3421
43877,1324.65
125631,4918.53
7129,1029.27
6398,1250.55
110646,3005.1
43967,2706.42
43734,1436.37
77543,975.4
43718,1672.56
37097,1378.29
39967,1077.18
130116,17379.18
44567,2827.05
44570,1589.97
44056,1329.51
128484,2704.5
128987,5524.62
83538,3637.14
117893,4462.8
43988,2836.71
43968,1342.47
43993,2924.64
84950,5640.48
44147,2671.48
70845,2657.76
6524,1216.77
43994,2137.24
77018,2180.22
117809,962.56
96590,1138.23
56921,2522.1
97398,2303.82
57496,2855.91
58030,1124.22
83024,8353.35
33817,3176.32
44068,4434.3
68648,1378.63
102298,1050.27
44286,4921.88
90934,3754.28
60492,1050.03
34399,2005.88
43875,2638.25
44146,3727.28
44400,2424.75
44142,1011.42
7078,1067.3
7083,1531.18
33850,1636.1
34102,2031.06
34104,1393.72
119644,4736.94
100559,10018.5
6519,1168.14
6470,1056.02
6522,6482.46
6471,3926.46
44139,1464.63
22136,10991.77
99701,1441.89
73198,1780.54
128827,3548.94
44134,1094.16
44133,1340.97
22219,1580.65
43970,1772.44
44149,1114.38
60607,5236.91
78810,1921.45
44141,3284.56
120451,5759.28
7086,4639.56
86513,3784.92
6564,3819.48
43995,2796.92
44551,4057.56
40076,2108.97
44138,1741.41
117196,1341.86
44176,3120.69
64194,2520.68
44143,1741.92
60279,2501.7
44140,1288.74
44629,4828.26
43960,1464.81
34185,18801.35
32129,1054.66
71146,4714.95
79562,3169.71
43845,6371.04
43961,3872.88
34330,11123.12
44395,3200.26
43955,944.1
43954,2700.68
44052,4551.08
74008,1688.73
33963,6618.72
39860,1302.38
128396,2045.85
107514,6567.04
44397,2324.04
43830,3471.39
44051,6169.92
44164,1089.27
34051,1498.38
100171,1100.58
22261,1096.68
43852,2033.4
44896,2348.28
6385,962.62
108929,5469.78
65420,1669.2
128368,1181.16
44043,3956.38
43682,1107.12
109071,1044.8
44057,2585.04
39914,1089.99
78267,1953.39
43979,1605.03
43975,957.6
44162,1417.17
70091,2336
96238,1850.66
39915,1701.45
99117,2447.52
121477,4999.04
33968,1900.98
58994,2940.52
128714,4198.48
44053,4017.32
43805,958.8
44885,967.77
6402,1117.9
44396,8905.14
128321,1477.52
125617,3490.41
111985,1470.28
22245,1277.26
107814,2482.44
20540,1420.47
62174,1006.18
34210,2628.69
39932,929.54
43804,1368.81
44055,6089.32
43981,1074.27
44300,1207.86
44282,989.34
44415,2069.19
44816,7030.38
44270,1818.48
22413,1275.78
44031,1842.68
128611,3084.96
44269,1180.26
44174,1699.44
34376,3821.49
85380,1670.01
39934,1210.5
96025,4433.78
44221,2063.08
128494,2522.1
110519,1020.18
128246,1582.84
22357,12172.74
34217,1360.98
36494,938.7
36497,1351.74
82909,10767.7
100202,3905.85
43962,1856.56
128327,2285.32
44358,1029.3
44022,1149.84
44167,1249.38
71963,10223.3
36565,1258.77
89866,1992.99
7079,2286.27
33962,3688.02
44025,5956.96
102634,3138.44
69980,1037.49
44210,2391.21
44026,3133.86
44617,4300.98
44029,3652.38
101580,2210.55
36503,1075.8
39326,971.43
105820,5067.24
7076,2549.31
34284,10112.76
33946,4630.36
87844,1652.34
44219,1700.6
44721,4908.63
44168,1875.03
128262,1759.5
34820,1058.58
34105,2511.98
128397,5809.29
44218,4324.16
87633,8442.25
63036,8417.9
125728,3549.88
86443,6022.32
88109,2745.44
7077,3148.68
43844,2238.2
44028,1453.83
44724,2370.63
44032,5939.88
33873,5249.7
128414,1680.15
44883,1394.07
108839,1270.92
56991,11555.1
98210,18342.24
128265,4209.21
89939,1088.8
44616,1678.13
44375,7500.92
79109,3893.08
34379,1255.12
43659,1186.38
82456,4141.25
57091,1206.32
44033,2567.08
44054,1076.84
44204,4254.96
43999,8346.8
34378,1389.54
34373,1237.66
44027,3434.48
125725,3217.53
44691,20311.12
